SITE	SITE_name	AREA	LAT	LON	PREC_low	PREC_high	PREC_MIN	PREC_MAX	RIV_perm	RIV_seas	density_RIV_perm	density_RIV_seas
ABD	Aberdares	1930	-0.58574	36.7081	937	2325	700	3637	170666.8911	2029.74563	88.4	1.1
EL	Elgon	733	0.97127	34.6762	1127	1868	491	2514	136636.85216	0	186.4	0
KK	Kakamega	540	0.21709	34.9848	1461	1980	751	2910	76793.20541	0	142.2	0
MM	Masaai Mara	1520	-1.47489	35.1074	899	1352	334	2034	173688.03158	0	114.3	0
MR	Meru	5090	-0.04388	38.6174	306	656	4	1728	61266.98494	605036.11891	12	118.9
MKE	Mt Kenya	2600	-0.18514	37.3245	807	2174	596	3461	397174.48009	10989.64308	152.8	4.2
NR	Nairobi	66	-1.37959	36.863	635	840	127	1953	2436.03102	0	36.9	0
NV	Naivasha	119	-0.91865	36.3166	669	826	273	1859	0	0	0	0
SB	Samburu	424	0.61437	37.6678	432	689	47	1619	44671.56386	20510.23309	105.4	48.4
SH	Shimba Hills	224	-4.25885	39.3836	1003	1185	251	2665	7360.24116	0	32.9	0
SHP	Shompole	183	-1.92106	36.0127	474	798	71	1563	16454.55663	0	89.9	0
TN	Tana	560	-1.59528	40.1467	451	650	153	1086	20983.41507	0	37.5	0
TV	Tsavo	20210	-2.99771	38.4953	504	1117	133	1754	236630.39805	909454.96462	11.7	45
