	intercept	HYP	HOD	AL	OL	SF	OT	CM	R2 fit	R2* cv
PREC	634	0	0	-44	0	3198	-1393	0	0.54	0.33
PREC_MIN	-168	0	114	0	0	1839	-100	0	0.44	0.3
PREC_low	967	0	0	0	0	1420	-2450	-262	0.76	0.55
PREC_MAX	-653	0	1966	0	0	4441	-1220	0	0.38	0.04
PREC_high	-614	0	917	-356	0	4352	0	0	0.4	-0.01
NPP	1237	0	0	-1228	0	2601	-2164	0	0.71	0.5
NPP_MIN_MIN	-474	0	288	-364	0	3434	0	0	0.51	0.26
NPP_low_low	1112	0	0	-1051	0	2352	0	-3536	0.78	0.66
NPP_low_MIN	-253	0	118	-839	0	3318	0	0	0.52	0.3
NPP_MIN_low	1157	0	0	0	0	2455	-2016	-868	0.75	0.56
NDVI	-0.075	0	0.45	0	0	1.042	-0.634	0	0.59	0.21
NDVI_MIN9y	0.466	0	0	0	-0.101	0	-0.461	-0.087	0.42	0.15
NDVI_low1y	0.239	0	0.202	0	0	0.469	-0.988	0	0.67	0.37
NDVI_low1y_MIN	-0.368	0	0.66	0	0	1.116	-0.722	0	0.63	0.3
NDVI_low	-0.072	0	0.448	0	0	0.981	-0.701	0	0.6	0.24
NDVI_low_MIN	0.034	0	0.293	0	0	0.994	-0.8	0	0.67	0.39
TEMP	34.7	0	0	74.8	-12.8	-39.2	0	0	0.56	0
TEMP_MIN	36.8	0	0	62.2	-16.2	-45.3	0	0	0.59	-0.02
TEMP_low	19.8	0	0	118.9	-8	-19.2	0	0	0.51	0.09
TEMP_low_MIN	19.6	0	0	101.3	-8.8	-19.8	0	0	0.5	0.02
TEMP_MAX	34	0	0	84.5	-11.1	-35.1	0	0	0.53	0.01
TEMP_high	49.7	0	0	29	-17.5	-59.6	0	0	0.6	0.01
TEMP_high_MAX	47	0	0	36.9	-13.6	-50.2	0	0	0.55	-0.02
