PREC_MIN	HYP	HOR	AL	OL	SF	OT	CM	HYP_1	HYP_2	HYP_3	HOR_1	HOR_2	HOR_3	MASS_log_mean
0	0	0	-1	0	1	-1	-1	0	-1	1	-1	1	0	0
0	1	0	-1	1	1	-1	-1	0	0	1	-1	1	0	0
0	0	0	1	1	1	-1	-1	0	-1	0	-1	1	0	1
0	0	1	1	0	1	-1	-1	-1	1	0	-1	0	0	0
0	0	1	1	0	1	-1	-1	0	-1	1	-1	1	0	0
0	1	0	1	0	1	-1	-1	-1	0	1	-1	1	0	0
0	1	0	-1	0	1	-1	-1	-1	0	1	-1	1	0	0
0	1	0	-1	0	1	-1	-1	-1	0	1	-1	1	0	0
0	1	1	-1	0	1	-1	-1	-1	0	1	-1	0	0	0
0	0	1	1	0	1	-1	-1	0	-1	0	-1	0	1	0
0	0	1	-1	0	1	-1	-1	0	-1	1	-1	0	0	-1
0	1	0	-1	0	1	-1	-1	-1	0	1	-1	1	0	0
0	1	0	-1	0	1	-1	-1	-1	0	1	-1	1	0	0
